source,target,value
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Maxim Gorki Theater,0
Bezirksamt Reinickendorf,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,108
Landesverwaltungsamt,Bezirksamt Mitte,0
Investitionsbank Berlin,Senatsverwaltung für Kultur und Europa,0
Finanzamt Friedrichshain-Kreuzberg,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Verwaltungsgericht Berlin,Finanzamt Friedrichshain-Kreuzberg,0
Senatsverwaltung für Finanzen,Polizei Berlin,0
Maxim Gorki Theater,Justizvollzugsanstalt für Frauen Berlin,0
Stiftung Preußischer Kulturbesitz,Senatsverwaltung für Kultur und Europa,0
Jugendstrafanstalt Berlin,Pestalozzi-Fröbel-Haus,0
Finanzamt Lichtenberg,Berliner Wasserbetriebe (BWB),0
Bezirksamt Pankow,Stiftung Preußischer Kulturbesitz,0
Abgeordnetenhaus von Berlin,Bezirksamt Pankow,0
Finanzamt für Körperschaften II,Landesfinanzservice (inkl. Landeshauptkasse),0
Bezirksamt Mitte,Finanzamt für Körperschaften II,0
Stiftung Bröhan-Museum,Wiedergutmachungsämter von Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Bezirksamt Reinickendorf,0
Amtsanwaltschaft Berlin,Bezirksamt Mitte,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Pflanzenschutzamt Berlin,0
Handwerksinnungen,Verkehrslenkung Berlin,0
Verfassungsgerichtshof des Landes Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Abgeordnetenhaus von Berlin,0
Pflanzenschutzamt Berlin,Technische Universität Berlin,0
Technische Universität Berlin,Maxim Gorki Theater,0
Verkehrslenkung Berlin,Verfassungsgerichtshof des Landes Berlin,0
Unfallkasse Berlin,Wiedergutmachungsämter von Berlin,0
Finanzamt Charlottenburg,Finanzamt Friedrichshain-Kreuzberg,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),"Landesamt für Bergbau, Geologie und Rohstoffe",0
Wiedergutmachungsämter von Berlin,Senatsverwaltung für Finanzen,0
Stiftung Stadtmuseum Berlin,Amtsgericht Lichtenberg,126
Finanzamt Reinickendorf,Deutsche Klassenlotterie Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Steuerberaterkammer Berlin,144
"Landesamt für Bergbau, Geologie und Rohstoffe",Deutsche Klassenlotterie Berlin,0
Steuerberaterkammer Berlin,Senatsverwaltung für Finanzen,0
Finanzamt Marzahn-Hellersdorf,Ärztekammer Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Unfallkasse Berlin,0
Senatsverwaltung für Kultur und Europa,Verwaltungsgericht Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Bezirksamt Reinickendorf,0
Pestalozzi-Fröbel-Haus,Amtsanwaltschaft Berlin,0
Amtsgericht Lichtenberg,Pestalozzi-Fröbel-Haus,0
Deutsche Klassenlotterie Berlin,Polizei Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Pflanzenschutzamt Berlin,0
Berliner Wasserbetriebe (BWB),Stiftung Stadtmuseum Berlin,0
Wohnraumversorgung Berlin,Technische Universität Berlin,0
Polizei Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Bezirksamt Spandau,Amtsanwaltschaft Berlin,0
Berliner Bäderbetriebe,Jugendstrafanstalt Berlin,180
Kassenzahnärztliche Vereinigung Berlin,Berliner Bäderbetriebe,0
Ärztekammer Berlin,Bezirksamt Spandau,0
Amtsgericht Spandau,Bezirksamt Mitte,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Landesfinanzservice (inkl. Landeshauptkasse),0
Bezirksamt Reinickendorf,Ärztekammer Berlin,0
Landesverwaltungsamt,Berliner Wasserbetriebe (BWB),0
Investitionsbank Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Finanzamt Friedrichshain-Kreuzberg,Amtsgericht Spandau,0
Verwaltungsgericht Berlin,Stiftung Preußischer Kulturbesitz,0
Senatsverwaltung für Finanzen,Finanzamt für Körperschaften II,0
Maxim Gorki Theater,Finanzamt Friedrichshain-Kreuzberg,0
Stiftung Preußischer Kulturbesitz,Jugendstrafanstalt Berlin,0
Jugendstrafanstalt Berlin,Finanzamt Reinickendorf,0
Finanzamt Lichtenberg,Bezirksamt Reinickendorf,0
Bezirksamt Pankow,Pflanzenschutzamt Berlin,0
Abgeordnetenhaus von Berlin,Finanzamt für Körperschaften II,0
Finanzamt für Körperschaften II,Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Mitte,Verkehrslenkung Berlin,0
Stiftung Bröhan-Museum,Deutsche Klassenlotterie Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Verwaltungsgericht Berlin,0
Amtsanwaltschaft Berlin,Amtsanwaltschaft Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Amtsanwaltschaft Berlin,144
Handwerksinnungen,Bezirksamt Mitte,0
Verfassungsgerichtshof des Landes Berlin,Finanzamt Reinickendorf,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Pflanzenschutzamt Berlin,Finanzamt Reinickendorf,0
Technische Universität Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Verkehrslenkung Berlin,Wiedergutmachungsämter von Berlin,0
Unfallkasse Berlin,Finanzamt Charlottenburg,0
Finanzamt Charlottenburg,Pestalozzi-Fröbel-Haus,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Ärztekammer Berlin,0
Wiedergutmachungsämter von Berlin,Landesverwaltungsamt,0
Stiftung Stadtmuseum Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Finanzamt Reinickendorf,Bezirksamt Mitte,0
Justizvollzugsanstalt für Frauen Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
"Landesamt für Bergbau, Geologie und Rohstoffe",Berliner Bäderbetriebe,0
Steuerberaterkammer Berlin,Technische Universität Berlin,0
Finanzamt Marzahn-Hellersdorf,Finanzamt Friedrichshain-Kreuzberg,162
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Maxim Gorki Theater,0
Senatsverwaltung für Kultur und Europa,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Friedrichshain-Kreuzberg,0
Pestalozzi-Fröbel-Haus,Finanzamt Friedrichshain-Kreuzberg,0
Amtsgericht Lichtenberg,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Deutsche Klassenlotterie Berlin,Amtsgericht Spandau,0
Landesarbeitsgericht Berlin-Brandenburg,Wohnraumversorgung Berlin,0
Berliner Wasserbetriebe (BWB),Ärztekammer Berlin,0
Wohnraumversorgung Berlin,Finanzamt Marzahn-Hellersdorf,0
Polizei Berlin,Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Spandau,Amtsgericht Spandau,144
Berliner Bäderbetriebe,Amtsgericht Spandau,0
Kassenzahnärztliche Vereinigung Berlin,Stiftung Bröhan-Museum,0
Ärztekammer Berlin,Finanzamt Reinickendorf,0
Amtsgericht Spandau,Finanzamt Reinickendorf,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Polizei Berlin,0
Bezirksamt Reinickendorf,Finanzamt für Körperschaften II,0
Landesverwaltungsamt,Finanzamt Marzahn-Hellersdorf,0
Investitionsbank Berlin,Stiftung Stadtmuseum Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Verwaltungsgericht Berlin,Landesverwaltungsamt,0
Senatsverwaltung für Finanzen,Ärztekammer Berlin,108
Maxim Gorki Theater,Amtsgericht Lichtenberg,0
Stiftung Preußischer Kulturbesitz,Landesverwaltungsamt,0
Jugendstrafanstalt Berlin,Finanzamt Reinickendorf,0
Finanzamt Lichtenberg,Finanzamt für Körperschaften II,0
Bezirksamt Pankow,Maxim Gorki Theater,0
Abgeordnetenhaus von Berlin,Finanzamt Friedrichshain-Kreuzberg,0
Finanzamt für Körperschaften II,Wohnraumversorgung Berlin,0
Bezirksamt Mitte,Landesfinanzservice (inkl. Landeshauptkasse),0
Stiftung Bröhan-Museum,Verfassungsgerichtshof des Landes Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Amtsanwaltschaft Berlin,Abgeordnetenhaus von Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Handwerksinnungen,Bezirksamt Mitte,0
Verfassungsgerichtshof des Landes Berlin,Berliner Wasserbetriebe (BWB),0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Landesverwaltungsamt,0
Pflanzenschutzamt Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Technische Universität Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Verkehrslenkung Berlin,Bezirksamt Mitte,0
Unfallkasse Berlin,Handwerksinnungen,0
Finanzamt Charlottenburg,Amtsgericht Lichtenberg,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesfinanzservice (inkl. Landeshauptkasse),0
Wiedergutmachungsämter von Berlin,Technische Universität Berlin,0
Stiftung Stadtmuseum Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Finanzamt Reinickendorf,Bezirksamt Mitte,0
Justizvollzugsanstalt für Frauen Berlin,Deutsche Klassenlotterie Berlin,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Deutsche Klassenlotterie Berlin,0
Steuerberaterkammer Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Finanzamt Marzahn-Hellersdorf,Bezirksamt Reinickendorf,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Deutsche Klassenlotterie Berlin,0
Senatsverwaltung für Kultur und Europa,Bezirksamt Mitte,126
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Polizei Berlin,0
Pestalozzi-Fröbel-Haus,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Amtsgericht Lichtenberg,Senatsverwaltung für Kultur und Europa,0
Deutsche Klassenlotterie Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Landesarbeitsgericht Berlin-Brandenburg,Deutsche Klassenlotterie Berlin,108
Berliner Wasserbetriebe (BWB),Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Wohnraumversorgung Berlin,Berliner Wasserbetriebe (BWB),198
Polizei Berlin,Berliner Wasserbetriebe (BWB),0
Bezirksamt Spandau,Stiftung Stadtmuseum Berlin,54
Berliner Bäderbetriebe,Senatsverwaltung für Kultur und Europa,0
Kassenzahnärztliche Vereinigung Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Ärztekammer Berlin,Finanzamt Charlottenburg,0
Amtsgericht Spandau,Verwaltungsgericht Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Landesarbeitsgericht Berlin-Brandenburg,36
Bezirksamt Reinickendorf,Stiftung Preußischer Kulturbesitz,0
Landesverwaltungsamt,Kassenzahnärztliche Vereinigung Berlin,0
Investitionsbank Berlin,Senatsverwaltung für Kultur und Europa,0
Finanzamt Friedrichshain-Kreuzberg,Finanzamt für Körperschaften II,0
Verwaltungsgericht Berlin,Wiedergutmachungsämter von Berlin,0
Senatsverwaltung für Finanzen,Amtsgericht Lichtenberg,0
Maxim Gorki Theater,Bezirksamt Pankow,0
Stiftung Preußischer Kulturbesitz,Amtsgericht Spandau,0
Jugendstrafanstalt Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Lichtenberg,Verfassungsgerichtshof des Landes Berlin,0
Bezirksamt Pankow,Verwaltungsgericht Berlin,36
Abgeordnetenhaus von Berlin,Polizei Berlin,0
Finanzamt für Körperschaften II,Steuerberaterkammer Berlin,0
Bezirksamt Mitte,Handwerksinnungen,0
Stiftung Bröhan-Museum,Finanzamt für Körperschaften II,0
Landesfinanzservice (inkl. Landeshauptkasse),"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Amtsanwaltschaft Berlin,Finanzamt Lichtenberg,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Verfassungsgerichtshof des Landes Berlin,0
Handwerksinnungen,Finanzamt Friedrichshain-Kreuzberg,0
Verfassungsgerichtshof des Landes Berlin,Wiedergutmachungsämter von Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Amtsanwaltschaft Berlin,0
Pflanzenschutzamt Berlin,Abgeordnetenhaus von Berlin,162
Technische Universität Berlin,Finanzamt Marzahn-Hellersdorf,0
Verkehrslenkung Berlin,Wohnraumversorgung Berlin,0
Unfallkasse Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Finanzamt Charlottenburg,Wiedergutmachungsämter von Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Stiftung Preußischer Kulturbesitz,0
Wiedergutmachungsämter von Berlin,Amtsanwaltschaft Berlin,162
Stiftung Stadtmuseum Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Reinickendorf,Deutsche Klassenlotterie Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Wohnraumversorgung Berlin,0
Steuerberaterkammer Berlin,Finanzamt für Körperschaften II,0
Finanzamt Marzahn-Hellersdorf,Finanzamt für Körperschaften II,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Finanzamt Reinickendorf,0
Senatsverwaltung für Kultur und Europa,Senatsverwaltung für Kultur und Europa,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Lichtenberg,0
Pestalozzi-Fröbel-Haus,Landesfinanzservice (inkl. Landeshauptkasse),0
Amtsgericht Lichtenberg,Senatsverwaltung für Finanzen,0
Deutsche Klassenlotterie Berlin,Finanzamt Lichtenberg,0
Landesarbeitsgericht Berlin-Brandenburg,Finanzamt Lichtenberg,0
Berliner Wasserbetriebe (BWB),Verwaltungsgericht Berlin,0
Wohnraumversorgung Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Polizei Berlin,Finanzamt Charlottenburg,0
Bezirksamt Spandau,Pflanzenschutzamt Berlin,0
Berliner Bäderbetriebe,Ärztekammer Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Pestalozzi-Fröbel-Haus,0
Ärztekammer Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Amtsgericht Spandau,Stiftung Bröhan-Museum,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Reinickendorf,Amtsgericht Lichtenberg,0
Landesverwaltungsamt,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Investitionsbank Berlin,Berliner Wasserbetriebe (BWB),0
Finanzamt Friedrichshain-Kreuzberg,Finanzamt Marzahn-Hellersdorf,0
Verwaltungsgericht Berlin,Verwaltungsgericht Berlin,0
Senatsverwaltung für Finanzen,Landesarbeitsgericht Berlin-Brandenburg,0
Maxim Gorki Theater,Stiftung Bröhan-Museum,0
Stiftung Preußischer Kulturbesitz,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Jugendstrafanstalt Berlin,Finanzamt Lichtenberg,0
Finanzamt Lichtenberg,Bezirksamt Pankow,0
Bezirksamt Pankow,Kassenzahnärztliche Vereinigung Berlin,0
Abgeordnetenhaus von Berlin,Finanzamt Friedrichshain-Kreuzberg,0
Finanzamt für Körperschaften II,Landesverwaltungsamt,180
Bezirksamt Mitte,Investitionsbank Berlin,0
Stiftung Bröhan-Museum,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Landesfinanzservice (inkl. Landeshauptkasse),Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Amtsanwaltschaft Berlin,Finanzamt Charlottenburg,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Amtsgericht Spandau,0
Handwerksinnungen,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Verfassungsgerichtshof des Landes Berlin,Berliner Bäderbetriebe,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Pflanzenschutzamt Berlin,Verwaltungsgericht Berlin,0
Technische Universität Berlin,Verkehrslenkung Berlin,0
Verkehrslenkung Berlin,Verkehrslenkung Berlin,0
Unfallkasse Berlin,Pflanzenschutzamt Berlin,0
Finanzamt Charlottenburg,Berliner Wasserbetriebe (BWB),0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Investitionsbank Berlin,0
Wiedergutmachungsämter von Berlin,Ärztekammer Berlin,0
Stiftung Stadtmuseum Berlin,Ärztekammer Berlin,144
Finanzamt Reinickendorf,Amtsgericht Spandau,0
Justizvollzugsanstalt für Frauen Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
"Landesamt für Bergbau, Geologie und Rohstoffe",Verwaltungsgericht Berlin,0
Steuerberaterkammer Berlin,Technische Universität Berlin,0
Finanzamt Marzahn-Hellersdorf,Stiftung Stadtmuseum Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Bezirksamt Pankow,0
Senatsverwaltung für Kultur und Europa,Maxim Gorki Theater,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Reinickendorf,180
Pestalozzi-Fröbel-Haus,Amtsgericht Spandau,0
Amtsgericht Lichtenberg,Amtsgericht Lichtenberg,0
Deutsche Klassenlotterie Berlin,Amtsgericht Spandau,0
Landesarbeitsgericht Berlin-Brandenburg,Unfallkasse Berlin,0
Berliner Wasserbetriebe (BWB),Jugendstrafanstalt Berlin,0
Wohnraumversorgung Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Polizei Berlin,Pestalozzi-Fröbel-Haus,0
Bezirksamt Spandau,Pflanzenschutzamt Berlin,0
Berliner Bäderbetriebe,Ärztekammer Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Steuerberaterkammer Berlin,0
Ärztekammer Berlin,Senatsverwaltung für Kultur und Europa,0
Amtsgericht Spandau,Stiftung Bröhan-Museum,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Pflanzenschutzamt Berlin,0
Bezirksamt Reinickendorf,Landesverwaltungsamt,0
Landesverwaltungsamt,Landesverwaltungsamt,36
Investitionsbank Berlin,Stiftung Preußischer Kulturbesitz,0
Finanzamt Friedrichshain-Kreuzberg,Finanzamt für Körperschaften II,0
Verwaltungsgericht Berlin,Finanzamt Charlottenburg,0
Senatsverwaltung für Finanzen,Abgeordnetenhaus von Berlin,0
Maxim Gorki Theater,Finanzamt Charlottenburg,0
Stiftung Preußischer Kulturbesitz,Landesverwaltungsamt,0
Jugendstrafanstalt Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Finanzamt Lichtenberg,Finanzamt für Körperschaften II,144
Bezirksamt Pankow,Wohnraumversorgung Berlin,90
Abgeordnetenhaus von Berlin,Berliner Bäderbetriebe,0
Finanzamt für Körperschaften II,Bezirksamt Mitte,0
Bezirksamt Mitte,Ärztekammer Berlin,0
Stiftung Bröhan-Museum,Berliner Wasserbetriebe (BWB),0
Landesfinanzservice (inkl. Landeshauptkasse),Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Amtsanwaltschaft Berlin,Wiedergutmachungsämter von Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Finanzamt Lichtenberg,0
Handwerksinnungen,Verfassungsgerichtshof des Landes Berlin,0
Verfassungsgerichtshof des Landes Berlin,Wiedergutmachungsämter von Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Amtsgericht Spandau,0
Pflanzenschutzamt Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Technische Universität Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Verkehrslenkung Berlin,Stiftung Preußischer Kulturbesitz,0
Unfallkasse Berlin,Technische Universität Berlin,198
Finanzamt Charlottenburg,Wiedergutmachungsämter von Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Verwaltungsgericht Berlin,0
Wiedergutmachungsämter von Berlin,Finanzamt für Körperschaften II,0
Stiftung Stadtmuseum Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Reinickendorf,Bezirksamt Reinickendorf,0
Justizvollzugsanstalt für Frauen Berlin,Pestalozzi-Fröbel-Haus,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Abgeordnetenhaus von Berlin,0
Steuerberaterkammer Berlin,Investitionsbank Berlin,0
Finanzamt Marzahn-Hellersdorf,Verwaltungsgericht Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Bezirksamt Spandau,0
Senatsverwaltung für Kultur und Europa,Senatsverwaltung für Finanzen,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Bezirksamt Pankow,0
Pestalozzi-Fröbel-Haus,Jugendstrafanstalt Berlin,0
Amtsgericht Lichtenberg,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Deutsche Klassenlotterie Berlin,Maxim Gorki Theater,0
Landesarbeitsgericht Berlin-Brandenburg,Pestalozzi-Fröbel-Haus,0
Berliner Wasserbetriebe (BWB),Finanzamt Friedrichshain-Kreuzberg,0
Wohnraumversorgung Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Polizei Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Bezirksamt Spandau,Kassenzahnärztliche Vereinigung Berlin,0
Berliner Bäderbetriebe,Finanzamt Marzahn-Hellersdorf,0
Kassenzahnärztliche Vereinigung Berlin,Verwaltungsgericht Berlin,0
Ärztekammer Berlin,Pflanzenschutzamt Berlin,0
Amtsgericht Spandau,Abgeordnetenhaus von Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Bezirksamt Reinickendorf,0
Bezirksamt Reinickendorf,Amtsgericht Lichtenberg,0
Landesverwaltungsamt,Investitionsbank Berlin,0
Investitionsbank Berlin,Handwerksinnungen,0
Finanzamt Friedrichshain-Kreuzberg,Amtsanwaltschaft Berlin,0
Verwaltungsgericht Berlin,Finanzamt für Körperschaften II,0
Senatsverwaltung für Finanzen,Bezirksamt Reinickendorf,0
Maxim Gorki Theater,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Stiftung Preußischer Kulturbesitz,Polizei Berlin,0
Jugendstrafanstalt Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Lichtenberg,Senatsverwaltung für Kultur und Europa,0
Bezirksamt Pankow,Landesfinanzservice (inkl. Landeshauptkasse),0
Abgeordnetenhaus von Berlin,Wohnraumversorgung Berlin,0
Finanzamt für Körperschaften II,Wohnraumversorgung Berlin,0
Bezirksamt Mitte,Unfallkasse Berlin,18
Stiftung Bröhan-Museum,Senatsverwaltung für Finanzen,0
Landesfinanzservice (inkl. Landeshauptkasse),Abgeordnetenhaus von Berlin,0
Amtsanwaltschaft Berlin,Bezirksamt Pankow,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Amtsgericht Spandau,0
Handwerksinnungen,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Verfassungsgerichtshof des Landes Berlin,Berliner Bäderbetriebe,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Bezirksamt Mitte,72
Pflanzenschutzamt Berlin,Stiftung Bröhan-Museum,0
Technische Universität Berlin,Verkehrslenkung Berlin,0
Verkehrslenkung Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Unfallkasse Berlin,Polizei Berlin,0
Finanzamt Charlottenburg,Unfallkasse Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Abgeordnetenhaus von Berlin,0
Wiedergutmachungsämter von Berlin,Handwerksinnungen,0
Stiftung Stadtmuseum Berlin,Technische Universität Berlin,0
Finanzamt Reinickendorf,Berliner Wasserbetriebe (BWB),0
Justizvollzugsanstalt für Frauen Berlin,Berliner Bäderbetriebe,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Abgeordnetenhaus von Berlin,0
Steuerberaterkammer Berlin,Finanzamt Charlottenburg,0
Finanzamt Marzahn-Hellersdorf,Berliner Wasserbetriebe (BWB),0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Amtsanwaltschaft Berlin,0
Senatsverwaltung für Kultur und Europa,Bezirksamt Pankow,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Pestalozzi-Fröbel-Haus,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Amtsgericht Lichtenberg,Finanzamt Friedrichshain-Kreuzberg,0
Deutsche Klassenlotterie Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Landesarbeitsgericht Berlin-Brandenburg,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Berliner Wasserbetriebe (BWB),Abgeordnetenhaus von Berlin,126
Wohnraumversorgung Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",72
Polizei Berlin,Steuerberaterkammer Berlin,0
Bezirksamt Spandau,Kassenzahnärztliche Vereinigung Berlin,0
Berliner Bäderbetriebe,Ärztekammer Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Ärztekammer Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Amtsgericht Spandau,Berliner Bäderbetriebe,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Wiedergutmachungsämter von Berlin,0
Bezirksamt Reinickendorf,Investitionsbank Berlin,0
Landesverwaltungsamt,Steuerberaterkammer Berlin,0
Investitionsbank Berlin,Finanzamt Marzahn-Hellersdorf,0
Finanzamt Friedrichshain-Kreuzberg,Finanzamt für Körperschaften II,0
Verwaltungsgericht Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Senatsverwaltung für Finanzen,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Maxim Gorki Theater,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Stiftung Preußischer Kulturbesitz,Bezirksamt Spandau,0
Jugendstrafanstalt Berlin,Berliner Wasserbetriebe (BWB),0
Finanzamt Lichtenberg,Senatsverwaltung für Finanzen,0
Bezirksamt Pankow,Polizei Berlin,108
Abgeordnetenhaus von Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Finanzamt für Körperschaften II,Technische Universität Berlin,0
Bezirksamt Mitte,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Stiftung Bröhan-Museum,Technische Universität Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Landesverwaltungsamt,198
